Date,Tweet,Subjectivity,Polarity,Analysis
09-09-2022," But most times, we would have started calling for the manager's sack before the club even do it.

But this time around, I think the fans still wanted Thomas Tuchel. We didn't see it coming at all.

The club's reason for his sack is lame too",0.625,0.0,Neutral
09-09-2022,"_   Don't mind this Vince or whatever his name is. PRing for English agenda. Only time will tell whether this sack was will yield the needed results. Before I forget, we're being told even if we miss T4 no wahalla but if Tuchel missed, his head on the gallows right?",0.5119047619047619,0.09523809523809523,Positive
09-09-2022," Were you expecting him to be sacked on his first season?! This was what I fear if fans continue to ""mourn"" the tuchel sack",0.3333333333333333,0.3125,Positive
09-09-2022,"    So if top 4 was the aim, why sack Tuchel?",0.5,0.5,Positive
09-09-2022,"  Oh yes you mean spend $300 million during the summer for players that Tuchel wanted and then sack him 5 or 6 games later? They made life easier for him, they really did.",0.29583333333333334,-0.0375,Negative
09-09-2022,we didn’t even sack tuchel because of his results so talking about standards is irrelevant,1.0,-0.5,Negative
09-09-2022,Liverpool may sack Klopp; contract made with Tuchel as potential replacement ,1.0,0.0,Neutral
09-09-2022,"Na Todd Boehly start all these things, why him go sack Tuchel... Things just dey occur.",0.0,0.0,Neutral
09-09-2022," Tuchel has shown that in the past that he could turn bad situations around, remember he just bought in new guys so why the rush to sack him then",0.457070707070707,-0.2712121212121212,Negative
09-09-2022," Feels weird, still can’t get over Tuchel’s sack. It’s been tough for me in the last 2 days",0.6333333333333334,-0.2962962962962963,Negative
09-09-2022," Is it the right decision to sack Tuchel? Yes
Was the timing right? No
That’s my only issue. If you don’t trust him then sack him before you give him 300m not after",0.6904761904761904,0.19047619047619047,Positive
09-09-2022,"I still can't get over Tuchel sack😢

Feels like Mou 2008

2021 was one of my best years, Tommy Tuchel was a big part of it",0.2,0.5,Positive
09-09-2022, The club comes first bro....that's all I can say quit acting like ur d only guy hurt by tuchel's sack,0.4444444444444444,0.08333333333333333,Positive
09-09-2022," Loved his project with the youngsters, eventually he turned out terrible and deserved the sack, like Tuchel",0.9,-0.15000000000000002,Negative
09-09-2022," Coach will take the fall as you can't sack 25 players 

The only things Tuchel did in his entire stat in Chelsea FC INCLS:

- Playing James at RCB
- Not getting a DM  CDM/CM
-Not pressuring for a DOF",0.8125,0.0,Neutral
09-09-2022," Under Tuchel, backend of last season was horrific bad results, back performance no style of play no improvement on any player and unhappiness. That has continued this season. The new owners made a decision to sack him in my opinion is the correct call.",0.4375757575757576,-0.3127272727272727,Negative
09-09-2022,   They had a lot of reason to sack tuchel not only he had bad start of the szn,0.8333333333333333,-0.3499999999999999,Negative
09-09-2022," Our football has been shocking for the past 7 months. 

Scraping top 4, underwhelming football and results but this is where the line is drawn apparently. 

I'm not fussed about the Tuchel sacking, because we didn't sack the same manager that won us the UCL.",0.445,-0.155,Negative
09-09-2022,National team boss claims Tuchel sack is 'positive' for struggling Chelsea star ,0.5454545454545454,0.22727272727272727,Positive
09-09-2022, So he got daddy Boehly to sack Tuchel,0.0,0.0,Neutral
09-09-2022,    Well if there was so much patience lying around why sack tuchel????,0.2,0.2,Positive
09-09-2022, Buh u were one of the supporters who said Tuchel should be sack,0.0,0.0,Neutral
09-09-2022,I watch them sack mourinho twice and these people think sacking tuchel go pain me? ,0.0,0.0,Neutral
09-09-2022,Then why sack Tuchel? LOOL ,0.0,0.0,Neutral
09-09-2022," Sacking Tuchel was a very bad idea.
Everyone in football can fucking see it.

It's just Boehly and Tuchel Out hive that can't 

Imagine getting players for his system all summer just to sack him",0.8333333333333334,-0.7549999999999999,Negative
09-09-2022,"  Why sack Tuchel then if not getting top 4 this season is not a prerequisite for staying in the job? 

Clearly sacking him was a non footballing issue.",0.44166666666666665,0.3,Positive
09-09-2022," I am still mortified by the sack of Tuchel but we have a new Manager who needs our support, nonetheless. We moveee",0.45454545454545453,0.13636363636363635,Positive
09-09-2022,"  I am literally pissed anytime I sees potters picture like I'm feeling he's the reason we sack tuchel but he's not I just mad at the club decision
We love you TT",0.8,-0.0625,Negative
09-09-2022,So why again did they sack Tuchel ,0.0,0.0,Neutral
09-09-2022,__    okay tell me why new owners should sack the guy they feel is for this long term project if he don't get top4? thought that's all Chelsea wants? Tuchel wasn't just the guy for it buddy.,0.36363636363636365,0.1965909090909091,Positive
09-09-2022,"so why did they sack tuchel when this is what they want,  why cant they give him time ... ",0.0,0.0,Neutral
09-09-2022,   Why did y’all spend so much just to sack Tuchel? I get waiting until it would go over well with the fans but at least hold back in the market if confidence is low.,0.22500000000000003,-0.024999999999999994,Negative
09-09-2022,"   Bro noting we can do really.
No way they will want to pay out is £60M left over after a years work.

It's obvious Boehly has a plan buy suffers from his lack of knowledge about the sport.

Notice how just him and Tuchel Out hive are happy about Tuchel sack and others call it bad",0.5111111111111111,-0.09999999999999996,Negative
09-09-2022,"  Todd is going fuck us all, sack an elite coach to go for a mid table coach🤣🤣😂 this guy are trying to make money out of chelsea, they are not ambitious as Abrahamovic they knew tuchel was not going to play their fucking games so they went for someone they could intimidate.",0.5375000000000001,-0.28125,Negative
09-09-2022," Todd is going fuck us all, sack an elite coach to go for a mid table coach🤣🤣😂 this guy are trying to make money out of chelsea, they are not ambitious as Abrahamovic they knew tuchel was not going to play their fucking games so they went for someone they could intimidate.",0.5375000000000001,-0.28125,Negative
09-09-2022,  So wjy sack Tuchel ?,0.0,0.0,Neutral
09-09-2022,_ I love tuchel but he was not that guy tbh 7 wins from our last 22 games .less points than spurs arsenal Newcastle in 2022 the sack was deserved,0.2888888888888889,0.26666666666666666,Positive
09-09-2022,"   Stop this hate on Tuchel, this is about the club standards not Tuchel. The club standards will become mess if they keep this useless ambition in mind. Even if he won't get sack for not getting top 4, the news should be kept secret between them.",0.49499999999999994,-0.275,Negative
09-09-2022,_ After all he’s our manager and it’s a must we support him. His success is Chelsea’s success and he wasn’t behind Tuchel’s sack,0.2333333333333333,0.06666666666666665,Positive
09-09-2022, With everything you have said I don’t rate this man and trust me he won’t flourish at Chelsea and he would be sack I prefer tuchel than him tuchel is the first manager that will be sacked and I will cry the man doesn’t worth what they did to him,0.21666666666666667,0.275,Positive
09-09-2022,"  They surprised Tuchel with the sack.that's cruel. They were only waiting for some bad games to execute something they have planned for while. Inasmuch as fans support the club, people got their favourite humans too and if u treat them bad it's fair they get hurt too.",0.8555555555555556,-0.26666666666666666,Negative
09-09-2022,"   We are not acting as if Tuchel will get us Top 4. The point here is that this Board are giving room to lack ambition, they need to let him know UCL is priority even though they won't sack him if he don't get it.
Why bringing out this news to the media the standard is falling 😭",0.16666666666666666,0.16666666666666666,Positive
09-09-2022,"  Rubbish
If dis is not achieved
Den why did u sack Tuchel den😒😒",0.0,0.0,Neutral
09-09-2022," I really don't mind it, was the same with Lampard and especially Tuchel. Think there should always be minimum expectations they should meet in their first seasons but to sack a manager after 1 for lets say finishing 5th is mental.",0.37166666666666665,0.06999999999999999,Positive
09-09-2022,"   Look man the way things were going even if Roman was still here Tuchel could have gotten the sack, was it to early for sure but no improvement from pre season to the match in Zagreb our defense is easy to break and opposition defense don’t stress themselves",0.674074074074074,0.3444444444444444,Positive
09-09-2022,Then why sack tuchel? ,0.0,0.0,Neutral
09-09-2022," they’re making that tuchel sack look even more ridiculous 😂
if top 4 wasn’t a priority to them why let him go?😂
clowns",0.6666666666666666,0.22222222222222224,Positive
