,Date,User,Tweet
0,2022-09-07 23:59:39+00:00,NeilDixon230384,I would love Jurgen Klopp to get the sack like Tuchel. Would be hilarious!
1,2022-09-07 23:58:40+00:00,franciscaamp_,"For the Chelsea fans out there who are happy Tuchel was sacked you don’t even have the right to call yourselves Chelsea fans. How do you sack a manager after 6 bad games ??? Thomas Tuchel was building something, he was creating a new ground for the team and now it’s all gone"
2,2022-09-07 23:57:36+00:00,nueleluwa,"Tuchel gone! Pulisic, Aubameyang &amp; the winners &amp; losers of Chelsea’s shock sack announcement https://t.co/vsOHNIKqzy"
3,2022-09-07 23:57:34+00:00,flliqqablog,"Tuchel gone! Pulisic, Aubameyang &amp; the winners &amp; losers of Chelsea’s shock sack announcement https://t.co/AeXunttFnT"
4,2022-09-07 23:57:14+00:00,folawemi_wealth,"@AlexGoldberg_ Let your emotion with toward still Tuchel stand aside bro. Abramovic would have sack him as well- doesn’t mean I agreed to him bring sacked. I just need to move on, you need to. I’m more worried about where we go from here"
5,2022-09-07 23:56:57+00:00,ViralTrunk,Klopp shades Chelsea owner while responding to if Liverpool will sack him like Tuchel https://t.co/bqh0wCGnTg
6,2022-09-07 23:54:22+00:00,wapcodenaijas,"LET’s TALK!!! Chelsea FC Sack Manager, Tuchel – Do You Think The Decision Was Too Early, Or Just? https://t.co/cJdjUtq4kJ"
7,2022-09-07 23:53:20+00:00,olusanya7,"@JesseWilcox12 @Zwane031 @CfcSheikh Nice reasoning, it’s obvious Tuchel would get the sack."
8,2022-09-07 23:51:48+00:00,SinisterChelsV2,"I’m genuinely convinced @todd_boehly just sacks people who hurt his ego and make him feel like he doesn’t know football.

Marina with a decade experience on him? Sacked.

Cech who knows as much about football as anyone? Sacked.

Tuchel didn’t want PR players? Sacked.

#BoehlyOut"
9,2022-09-07 23:50:19+00:00,265Kilometres,If you think of it - and I mean properly think of it - it’s kind of wild that the impact of the Chernobyl nuclear disaster created a world where Chelsea felt obligated to sack Thomas Tuchel
10,2022-09-07 23:49:19+00:00,janteci,Chelsea sack coach Thomas Tuchel after Champions League defeat against Dinamo Zagreb | Football News – Times of India https://t.co/YKnXOSWw5e
11,2022-09-07 23:49:19+00:00,Joelfg10,Woke up to a noti from The athletic saying «Chelsea sack Tuchel» and then i think im dreaming so i go back to sleep only to wake up to it being reality. Have had a terrible day since. Will continue as long as this manager is not here. https://t.co/UMnPMFM6CY
12,2022-09-07 23:48:55+00:00,CharlieWyett,"Klopp apologIses to Liverpool fans after Napoli nightmare but expects calm owners won’t sack him like Tuchel at Chelsea

https://t.co/7YbOmO6Cgd"
13,2022-09-07 23:48:23+00:00,LinkNdigbo,Simon Jordan calls out Chelsea fan over decision to sack Thomas Tuchel https://t.co/IOfIqI1ao8
14,2022-09-07 23:47:34+00:00,apottvfootball1,"Jurgen Klopp when asked if he's worried about getting the sack like Tuchel at Chelsea.

Source: @jamespearcelfc

#ApottvFootball #LFC #Klopp #championsleague2022 #UCL https://t.co/rWveT7CptJ"
15,2022-09-07 23:45:08+00:00,africanews_360,Klopp shades Chelsea owner while responding to if Liverpool will sack him like Tuchel https://t.co/yBzUp3uY1f
16,2022-09-07 23:44:35+00:00,barcafan84,Seriously who was the numb brain that decided to sack Tuchel with those numbers? #chelsea #Tuchel https://t.co/m9RySUIORf
17,2022-09-07 23:44:32+00:00,israelpaulonyah,Why sack tuchel am confused #Sacked
18,2022-09-07 23:44:02+00:00,cornelmarfo1,@FabrizioRomano @JamesPearceLFC This tone is giving me sack vibes
19,2022-09-07 23:42:20+00:00,kiwi8three,The real reason Tuchel got sack is because he didn't start the LeBron James of soccer https://t.co/PE9KiPiJgz
20,2022-09-07 23:40:47+00:00,SirEmzi,"@FrankKhalidUK It’s was a disgraceful act by the board and Boehly to Sack Tuchel, it hurts many of us . We didn’t like the result last night and other performances but we believed in Tuchel, we loved him as a manager, we want him to have his time to put his team together."
21,2022-09-07 23:40:41+00:00,Lucas52784306,@CFCPys Pys I generally really like your opinions but you're sounding like a Tuchel widow right now. Get over it man. He's been doing a poor job and in all likelihood would get the sack eventually anyway.
22,2022-09-07 23:40:28+00:00,chef_kelly1,@AbsoluteChelsea @JBurtTelegraph No Chelsea fan is happy seeing Thomas tuchel been sack it come by surprise to everyone this not the best thing to do at this moment what a sad day to be a Chelsea fan
23,2022-09-07 23:40:03+00:00,RadarsTrend,Danny Murphy slams Todd Boehly 'knee-jerk' decision to sack Thomas Tuchel https://t.co/ppl5KlFCrf
24,2022-09-07 23:39:58+00:00,DylanWa20222205,@JaycifiedV1 @WrentAA Klopp or tuchel don’t deserve the sack your club is just clueless and sacked him
25,2022-09-07 23:39:23+00:00,TheOGGuru,"Klopp APOLOGISES to Liverpool fans after Napoli nightmare but insists calm owners won’t sack him like Tuchel at Chelsea - 7 September 2022.
Read More: https://t.co/u2zuLKEZXV https://t.co/oE0lc8HCV7"
26,2022-09-07 23:38:54+00:00,unitedstoic,@SemperFiArsenal Well you should sack Arreta for Tuchel right now
27,2022-09-07 23:38:11+00:00,surethinzzpato,"Jurgen Klopp when asked if he's worried about getting the sack like Tuchel at Chelsea: ""Not really, this is not the case"".  🔴 #LFC 

""Our owners are rather calm and expect me to sort the situation and not think someone else will"", Klopp says via @JamesPearceLFC. https://t.co/i59TBPQG6K"
28,2022-09-07 23:38:03+00:00,official_tolu11,Fuck. I don't think Tuchel should've been sacked. More time would've helped. We finally get an actual striker and you sack OUR MANAGER?!! WTF? Did Boehly even consider how the fans feel. Everybody was thinking change of tactics &amp; formation. I hate this. I wish I was dreaming.
29,2022-09-07 23:36:34+00:00,ato_nkay,"Chelsea board is just rash! Because why sack Tuchel
Watch Liverpool stand by Klopp till he turns the curve https://t.co/pJXaQJe26J"
30,2022-09-07 23:36:24+00:00,BlueSoldiersFC,"Klopp asked if he's worried about getting the sack like Tuchel: ""Not really, our owners are rather calm and expect me to sort the situation and not think someone else will."""
31,2022-09-07 23:36:20+00:00,AmasahQuaye,"I know i wanted Thomas Tuchel to get the sack but am sad he is gone. Brought so much joy to me. Forever in my heart. He really loved the club.
@ChelseaFC liverpool baily trent Asake"
32,2022-09-07 23:35:46+00:00,Muzamil52830430,@ESPNUK If he go they will sack him like they did to Tuchel
33,2022-09-07 23:35:34+00:00,AngryChelseaMe,@ConnCFC It is Tuchel against the whole players. Todd can’t sack players
34,2022-09-07 23:34:36+00:00,ayineisgod,Nahhh we didn’t have to sack Tuchel!
35,2022-09-07 23:33:49+00:00,olanrela,@LFC Are you going to sack him just as the @ChelseaFC sacked tuchel?
36,2022-09-07 23:33:28+00:00,Cam_Sloan1,Watch liverpool sack klopp and bring in Tuchel
37,2022-09-07 23:32:26+00:00,__Callum28,"Loool I cannot believe the audacity of this shit, regardless it was stupid for them to let tuchel spend 250 and then sack him 7 games in https://t.co/7AayM9Laqp"
38,2022-09-07 23:32:25+00:00,amnon96,Klopp shades Chelsea owner while responding to if Liverpool will sack him like Tuchel https://t.co/nMGNwgulPH
39,2022-09-07 23:31:20+00:00,SquirgeC,Klopp APOLOGISES to Liverpool fans after Napoli nightmare but insists calm owners won’t sack him like Tuchel at Chelsea - Klopp #Klopp -  https://t.co/9U9ZVcysje
40,2022-09-07 23:30:12+00:00,cfc_nellz,"@BigbyCFC @Chels_HQ @iPaperSport Want to keep her just to later sack her after 100 days of taking over, bulshit if Tuchel left then we will be blaming him, now this is it"
